DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2018-Q4,7.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2019-Q4,6.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2020-Q4,7.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2021-Q4,6.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2022-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2023-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2004-Q4,6.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2005-Q4,7.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2006-Q4,7.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2007-Q4,7.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2008-Q4,8.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2009-Q4,10.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2010-Q4,10.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2011-Q4,10.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2012-Q4,10.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2013-Q4,9.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2014-Q4,7.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2015-Q4,6.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2016-Q4,4.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2017-Q4,3.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2018-Q4,3.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2019-Q4,3.3,
